,Brand,Model,Selling_Price,Year,Seller_Type,Owner,KM_Driven,Ex_Showroom_Price
0,TVS,TVS XL 100,30000,2017,Individual,1st owner,8000,30490.0
1,Bajaj,Bajaj  ct 100,18000,2017,Individual,1st owner,35000,32000.0
2,Yo,Yo Style,20000,2011,Individual,1st owner,10000,37675.0
3,Bajaj,Bajaj Discover 100,25000,2010,Individual,1st owner,43000,42859.0
4,Bajaj,Bajaj Discover 100,24999,2012,Individual,2nd owner,35000,42859.0
5,Bajaj,Bajaj Discover 100,20000,2012,Individual,1st owner,85000,42859.0
6,Bajaj,Bajaj Discover 100,30000,2011,Individual,1st owner,45000,42859.0
7,Bajaj,Bajaj Discover 100,25000,2010,Individual,2nd owner,28000,42859.0
8,Bajaj,Bajaj Discover 100,28000,2015,Individual,2nd owner,52000,42859.0
9,Bajaj,Bajaj Discover 100,22000,2014,Individual,1st owner,14289,42859.0
10,Bajaj,Bajaj Discover 100,24000,2014,Individual,1st owner,31000,42859.0
11,Bajaj,Bajaj Discover 100,21000,2009,Individual,1st owner,50000,42859.0
12,Bajaj,Bajaj Discover 100,23000,2012,Individual,1st owner,50000,42859.0
13,TVS,TVS Scooty Streak,18000,2009,Individual,2nd owner,33595,44140.0
14,Honda,Honda Navi [2016-2017],26000,2016,Individual,1st owner,17450,44389.0
15,Honda,Honda Navi [2016-2017],42000,2017,Individual,1st owner,24000,44389.0
16,Honda,Honda Navi [2016-2017],23000,2016,Individual,1st owner,17450,44389.0
17,Mahindra,Mahindra Flyte,22000,2009,Individual,3rd owner,20000,44493.0
18,Bajaj,Bajaj Discover 100 M,20000,2011,Individual,1st owner,37734,44756.0
19,Bajaj,Bajaj Discover 100 M,32000,2014,Individual,1st owner,30000,44756.0
20,Hero,Hero Splendor NXG,18000,2011,Individual,1st owner,35000,44814.0
21,TVS,TVS Star City,15000,2006,Individual,1st owner,40000,46575.0
22,Hero,Hero Pleasure [2005-2015],30000,2013,Individual,1st owner,25000,46779.0
23,Bajaj,Bajaj Discover 100,27000,2015,Individual,1st owner,21000,47000.0
24,Bajaj,Bajaj Discover 100 T,25000,2013,Individual,1st owner,26000,47032.0
25,Bajaj,Bajaj Discover 100 T,18000,2013,Individual,1st owner,45000,47032.0
26,Bajaj,Bajaj Discover 100 T,25000,2014,Individual,1st owner,30000,47032.0
27,Bajaj,Bajaj Discover 100 T,20000,2013,Individual,1st owner,20000,47032.0
28,TVS,TVS Star City,21000,2011,Individual,1st owner,101000,47108.0
29,TVS,TVS Star City,25000,2016,Individual,1st owner,50000,47108.0
30,Bajaj,Bajaj Discover 125 M,45000,2014,Individual,1st owner,40000,47186.0
31,Honda,Honda Navi,28000,2016,Individual,2nd owner,10000,47255.0
32,Mahindra,Mahindra Rodeo,20000,2013,Individual,1st owner,7000,47343.0
33,Hero,Hero Splender Plus,30000,2018,Individual,1st owner,50000,48000.0
34,Bajaj,Bajaj Discover 125 M,30000,2014,Individual,1st owner,45000,49146.0
35,Honda,Honda CB Twister,70000,2014,Individual,1st owner,12566,49150.0
36,Honda,Honda Dream Neo,45000,2017,Individual,2nd owner,21000,49211.0
37,Honda,Honda Dream Neo,50000,2014,Individual,1st owner,25000,49211.0
38,Hero,Hero Maestro,25000,2015,Individual,2nd owner,40000,49412.0
39,Hero,Hero Maestro,30000,2013,Individual,1st owner,60000,49412.0
40,Hero,Hero Maestro,50000,2016,Individual,1st owner,100000,49412.0
41,Yamaha,Yamaha Saluto RX,40000,2017,Individual,1st owner,27000,49521.0
42,Hero,Hero Pleasure,26500,2013,Individual,1st owner,18860,49600.0
43,Hero,Hero Pleasure,20000,2012,Individual,2nd owner,30000,49600.0
44,Hero,Hero Pleasure,30000,2013,Individual,1st owner,25000,49600.0
45,Hero,Hero Splendor PRO,28000,2015,Individual,1st owner,38000,49642.0
46,Hero,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,49900.0
47,Suzuki,Suzuki Let''s,34000,2014,Individual,1st owner,8000,50098.0
48,Honda,Honda Activa [2000-2015],22989,2012,Individual,1st owner,500000,50267.0
49,Honda,Honda Activa [2000-2015],30000,2014,Individual,1st owner,52000,50267.0
50,Honda,Honda Activa [2000-2015],25000,2014,Individual,1st owner,41000,50267.0
51,Honda,Honda Activa [2000-2015],20000,2010,Individual,1st owner,50000,50267.0
52,Honda,Honda Activa [2000-2015],35000,2014,Individual,1st owner,10000,50267.0
53,Honda,Honda Activa [2000-2015],29500,2013,Individual,1st owner,45000,50267.0
54,Honda,Honda Activa [2000-2015],10000,2009,Individual,1st owner,60000,50267.0
55,Honda,Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267.0
56,Honda,Honda Activa [2000-2015],25000,2009,Individual,1st owner,585659,50267.0
57,Honda,Honda Activa [2000-2015],22000,2014,Individual,1st owner,38000,50267.0
58,Honda,Honda Activa [2000-2015],25000,2012,Individual,1st owner,40000,50267.0
59,Honda,Honda Activa [2000-2015],30000,2012,Individual,1st owner,22000,50267.0
60,Honda,Honda Activa [2000-2015],35000,2013,Individual,1st owner,29500,50267.0
61,Honda,Honda Activa [2000-2015],50000,2014,Individual,1st owner,48000,50267.0
62,Honda,Honda Activa [2000-2015],15000,2006,Individual,1st owner,50000,50267.0
63,Honda,Honda Activa [2000-2015],16600,2010,Individual,1st owner,100000,50267.0
64,Honda,Honda Activa [2000-2015],25000,2012,Individual,1st owner,38000,50267.0
65,Honda,Honda Activa [2000-2015],6000,2006,Individual,2nd owner,35000,50267.0
66,Honda,Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267.0
67,Honda,Honda Activa [2000-2015],25000,2015,Individual,1st owner,25000,50267.0
68,Honda,Honda Activa [2000-2015],25000,2007,Individual,1st owner,17860,50267.0
69,Honda,Honda Activa [2000-2015],35000,2012,Individual,1st owner,29000,50267.0
70,Honda,Honda Activa [2000-2015],18000,2011,Individual,1st owner,28000,50267.0
71,Hero,Hero Duet,45000,2017,Individual,1st owner,35000,50280.0
72,Hero,Hero Duet,27000,2016,Individual,1st owner,28000,50280.0
73,Hero,Hero Duet,37000,2016,Individual,1st owner,6000,50280.0
74,Honda,Honda Activa 4G,48000,2019,Individual,1st owner,4300,51000.0
75,Honda,Honda Activa 4G,45000,2019,Individual,1st owner,4000,51000.0
76,Activa,Activa 4g,40000,2019,Individual,1st owner,1300,51000.0
77,Hero,Hero Honda Passion Pro,30000,2014,Individual,1st owner,60000,51000.0
78,Honda,Honda CB twister,25000,2015,Individual,1st owner,32000,51000.0
79,Honda,Honda CB twister,16000,2012,Individual,1st owner,33000,51000.0
80,Honda,Honda Activa i [2016-2017],30000,2015,Individual,2nd owner,20000,51112.0
81,Mahindra,Mahindra Gusto,25000,2016,Individual,1st owner,13500,51185.0
82,Mahindra,Mahindra Gusto,30000,2015,Individual,2nd owner,20000,51185.0
83,Hero,Hero Pleasure,40000,2014,Individual,1st owner,14000,51600.0
84,Hero,Hero Pleasure,30000,2013,Individual,1st owner,24000,51600.0
85,Suzuki,Suzuki Swish [2012-2015],30000,2014,Individual,1st owner,30000,51685.0
86,Hero,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,51994.0
87,Hero,Hero Splendor PRO,40000,2016,Individual,1st owner,16000,51994.0
88,Hero,Hero Splendor PRO,24000,2011,Individual,1st owner,43000,51994.0
89,Hero,Hero Splendor PRO,35000,2015,Individual,1st owner,35280,51994.0
90,TVS,TVS Sport ,48000,2019,Individual,1st owner,15000,52000.0
91,TVS,TVS Jupyter,35000,2016,Individual,1st owner,19000,52000.0
92,TVS,TVS Wego,25000,2012,Individual,1st owner,22000,52000.0
93,Activa,Activa 3g,17000,2010,Individual,1st owner,500000,52000.0
94,Hero,Hero Splendor iSmart,50000,2017,Individual,2nd owner,10000,52271.0
95,Hero,Hero Splendor iSmart,40000,2015,Individual,1st owner,19055,52271.0
96,Hero,Hero Splendor iSmart,40000,2015,Individual,1st owner,10000,52271.0
97,TVS,TVS Scooty Zest 110,28000,2015,Individual,1st owner,32800,52372.0
98,Bajaj,Bajaj Discover 110,15000,2007,Individual,1st owner,70000,52710.0
99,Hero,Hero Maestro Edge,25000,2017,Individual,1st owner,55000,52790.0
100,Hero,Hero Maestro Edge,55000,2018,Individual,1st owner,39000,52790.0
101,Yamaha,Yamaha Ray Z,35000,2015,Individual,1st owner,15500,52949.0
102,Yamaha,Yamaha Ray Z,75000,2017,Individual,1st owner,15000,52949.0
103,Honda,Honda Activa 4G,45000,2018,Individual,1st owner,25000,53079.0
104,Honda,Honda Dream Neo,42000,2014,Individual,1st owner,21000,53415.0
105,Honda,Honda Activa i [2016-2017],40000,2017,Individual,1st owner,11000,53436.0
106,Honda,Honda Activa i [2016-2017],35000,2016,Individual,1st owner,29000,53436.0
107,TVS,TVS Scooty Zest 110,30000,2017,Individual,1st owner,9432,53751.0
108,TVS,TVS Scooty Zest 110,55000,2018,Individual,1st owner,380,53751.0
109,Hero,Hero Maestro,26500,2016,Individual,2nd owner,40000,53830.0
110,Honda,Honda CB Twister,18000,2010,Individual,1st owner,60000,53857.0
111,Honda,Honda CB Twister,30000,2013,Individual,1st owner,9000,53857.0
112,Honda,Honda CB Twister,25000,2012,Individual,1st owner,86000,53857.0
113,Honda,Honda Activa i,32000,2013,Individual,2nd owner,20696,53900.0
114,Honda,Honda Activa i,30000,2014,Individual,1st owner,25000,53900.0
115,Honda,Honda Dream Yuga ,48000,2019,Individual,1st owner,8600,54000.0
116,Hero,Hero Splender iSmart,45000,2018,Individual,1st owner,14000,54000.0
117,Activa,Activa 3g,45000,2018,Individual,1st owner,500,54000.0
118,Hero,Hero Splender iSmart,40000,2017,Individual,1st owner,14000,54000.0
119,Hero,Hero Duet,35000,2016,Individual,2nd owner,49637,54080.0
120,Yamaha,Yamaha Alpha,25000,2015,Individual,2nd owner,14000,54253.0
121,Bajaj,Bajaj Discover 150,25000,2014,Individual,2nd owner,71000,54299.0
122,Bajaj,Bajaj Discover 150,30000,2012,Individual,1st owner,50000,54299.0
123,Bajaj,Bajaj Discover 150,30000,2011,Individual,2nd owner,39500,54299.0
124,Bajaj,Bajaj Discover 150,25000,2008,Individual,1st owner,25000,54299.0
125,Bajaj,Bajaj Discover 150,25000,2011,Individual,1st owner,52000,54299.0
126,Bajaj,Bajaj Discover 150,35000,2015,Individual,1st owner,12000,54299.0
127,Hero,Hero Passion PRO i3s,55000,2017,Individual,1st owner,14600,54475.0
128,Hero,Hero Passion PRO i3s,55000,2018,Individual,1st owner,15000,54475.0
129,Hero,Hero Passion PRO i3s,35000,2016,Individual,1st owner,18000,54475.0
130,Yamaha,Yamaha Fascino 110,45000,2016,Individual,1st owner,56000,54500.0
131,Yamaha,Yamaha Fascino 110,38000,2016,Individual,1st owner,37000,54500.0
132,Hero,Hero Maestro Edge,58000,2018,Individual,1st owner,6000,54580.0
133,Hero,Hero Passion PRO TR,45000,2014,Individual,1st owner,36000,54586.0
134,Hero,Hero Passion PRO TR,35000,2014,Individual,1st owner,9556,54586.0
135,Yamaha,Yamaha YBR 125,36000,2014,Individual,1st owner,20400,54593.0
136,Yamaha,Yamaha YBR 125,35000,2013,Individual,1st owner,20350,54593.0
137,Honda,Honda Activa 3G,30000,2015,Individual,1st owner,39000,54605.0
138,Honda,Honda Activa 3G,60000,2015,Individual,1st owner,30000,54605.0
139,Honda,Honda Activa 3G,40000,2015,Individual,1st owner,3000,54605.0
140,Honda,Honda Activa 3G,47999,2016,Individual,1st owner,6000,54605.0
141,Honda,Honda Activa 3G,42000,2015,Individual,1st owner,20000,54605.0
142,Honda,Honda Activa 3G,40000,2015,Individual,1st owner,7672,54605.0
143,Honda,Honda Activa 3G,25000,2011,Individual,1st owner,20000,54605.0
144,Honda,Honda Activa 3G,45000,2015,Individual,1st owner,18000,54605.0
145,Honda,Honda Activa 3G,50000,2016,Individual,1st owner,5326,54605.0
146,Honda,Honda Activa 3G,32000,2015,Individual,1st owner,4500,54605.0
147,Honda,Honda Activa 3G,35000,2016,Individual,1st owner,51000,54605.0
148,Honda,Honda Activa 3G,30000,2015,Individual,1st owner,18000,54605.0
149,Honda,Honda Activa 3G,40000,2016,Individual,1st owner,60000,54605.0
150,Honda,Honda Activa 3G,40000,2015,Individual,1st owner,36000,54605.0
151,Honda,Honda Activa 3G,50000,2016,Individual,1st owner,6000,54605.0
152,TVS,TVS Wego,45000,2018,Individual,1st owner,10000,54760.0
153,TVS,TVS Wego,15000,2011,Individual,1st owner,65000,54760.0
154,TVS,TVS Wego,15000,2011,Individual,2nd owner,20000,54760.0
155,TVS,TVS Victor,20000,2001,Individual,1st owner,50000,54852.0
156,TVS,TVS Victor,18000,2004,Individual,1st owner,46700,54852.0
157,TVS,TVS Victor,10000,2005,Individual,1st owner,55000,54852.0
158,Hero,Hero Passion X pro,50000,2018,Individual,1st owner,31000,55000.0
159,Hero,Hero Passion Pro,45000,2018,Individual,1st owner,1000,55000.0
160,Hero,Hero Passion Pro,40000,2017,Individual,1st owner,6700,55000.0
161,Hero,Hero Splendor Plus i3s,70000,2019,Individual,1st owner,3000,55600.0
162,Hero,Hero Splendor Plus i3s,65000,2019,Individual,1st owner,1000,55600.0
163,Hero,Hero Maestro Edge,40000,2017,Individual,1st owner,15000,55980.0
164,Hero,Hero Maestro Edge,46000,2015,Individual,1st owner,14000,55980.0
165,Honda,Honda Dream Yuga,25000,2012,Individual,1st owner,35000,56147.0
166,Honda,Honda Dream Yuga,35000,2014,Individual,1st owner,10000,56147.0
167,Honda,Honda Dream Yuga,48000,2018,Individual,1st owner,7110,56147.0
168,Honda,Honda Dream Yuga,25000,2013,Individual,1st owner,29000,56147.0
169,Honda,Honda Dream Yuga,32000,2017,Individual,1st owner,39000,56147.0
170,Honda,Honda Dream Yuga,47000,2019,Individual,1st owner,8800,56147.0
171,Honda,Honda Dream Yuga,35000,2015,Individual,1st owner,39448,56147.0
172,Honda,Honda Dream Yuga,45000,2017,Individual,1st owner,26000,56147.0
173,Honda,Honda Dream Yuga,30000,2015,Individual,2nd owner,46070,56147.0
174,Hero,Hero Passion XPro,28000,2012,Individual,1st owner,81000,56750.0
175,Hero,Hero Passion PRO i3s,50000,2017,Individual,1st owner,41000,56925.0
176,Hero,Hero Passion PRO i3s,50000,2017,Individual,1st owner,18000,56925.0
177,Honda,Honda Activa 125,35000,2018,Individual,1st owner,24000,57000.0
178,Hero,Hero Glamour,25000,2015,Individual,1st owner,18000,57000.0
179,Hero,Hero Super Splendor,20000,2007,Individual,1st owner,55000,57000.0
180,Bajaj,Bajaj Discover 125,20000,2014,Individual,2nd owner,25000,57000.0
181,Bajaj,Bajaj Discover 125,15000,2013,Individual,2nd owner,35000,57000.0
182,Yamaha,Yamaha Fascino 110,69000,2019,Individual,1st owner,1600,57112.0
183,Yamaha,Yamaha Fascino 110,55000,2019,Individual,1st owner,7000,57112.0
184,Honda,Honda CB Twister,25000,2015,Individual,1st owner,35000,57241.0
185,Honda,Honda CB Twister,30000,2012,Individual,1st owner,50000,57241.0
186,Bajaj,Bajaj Discover 125,25000,2013,Individual,1st owner,55000,57549.0
187,Bajaj,Bajaj Discover 125,15000,2011,Individual,1st owner,32000,57549.0
188,Bajaj,Bajaj Discover 125,10000,2006,Individual,1st owner,51000,57549.0
189,Bajaj,Bajaj Discover 125,15000,2011,Individual,1st owner,47000,57549.0
190,Bajaj,Bajaj Discover 125,26000,2012,Individual,1st owner,75000,57549.0
191,Bajaj,Bajaj Discover 125,25000,2011,Individual,1st owner,70000,57549.0
192,Bajaj,Bajaj Discover 125,23000,2011,Individual,1st owner,66000,57549.0
193,Honda,Honda Activa 5G,60000,2018,Individual,1st owner,6502,57557.0
194,Honda,Honda Activa 5G,62000,2019,Individual,1st owner,3500,57557.0
195,Honda,Honda Activa 5G,55000,2019,Individual,1st owner,10000,57557.0
196,Honda,Honda Activa 5G,42000,2018,Individual,1st owner,22000,57557.0
197,Honda,Honda Activa 5G,46000,2018,Individual,1st owner,10000,57557.0
198,Honda,Honda Activa 5G,50000,2018,Individual,1st owner,25000,57957.0
199,Honda,Honda CB Shine,30000,2015,Individual,1st owner,30000,58000.0
200,Suzuki,Suzuki Access 125,25000,2010,Individual,1st owner,1900,58000.0
201,Honda,Honda CB Shine,12000,2009,Individual,1st owner,53000,58000.0
202,Suzuki,Suzuki Access 125 [2007-2016],25000,2012,Individual,1st owner,55000,58314.0
203,Suzuki,Suzuki Access 125 [2007-2016],22000,2010,Individual,2nd owner,43000,58314.0
204,Suzuki,Suzuki Access 125 [2007-2016],16000,2011,Individual,1st owner,40000,58314.0
205,Suzuki,Suzuki Access 125 [2007-2016],30000,2012,Individual,1st owner,23000,58314.0
206,Bajaj,Bajaj Discover 125 ST,17500,2013,Individual,1st owner,38000,58438.0
207,Bajaj,Bajaj Discover 125 ST,25000,2012,Individual,1st owner,76000,58438.0
208,Yamaha,Yamaha Cygnus Ray ZR,56000,2019,Individual,1st owner,3900,58630.0
209,Honda,Honda CBF Stunner,35000,2013,Individual,1st owner,15888,58757.0
210,Honda,Honda CBF Stunner,37000,2014,Individual,1st owner,43000,58757.0
211,Hero,Hero Passion XPro,45000,2018,Individual,1st owner,7000,58900.0
212,Bajaj,Bajaj V12,45000,2017,Individual,1st owner,35000,58906.0
213,Hero,Hero Passion X Pro [2016-2017],38000,2016,Individual,2nd owner,20000,59095.0
214,Hero,Hero Passion X Pro [2016-2017],42000,2016,Individual,1st owner,15500,59095.0
215,Honda,Honda Aviator,14000,2008,Individual,1st owner,66000,59183.0
216,Honda,Honda Aviator,28000,2009,Individual,1st owner,29625,59183.0
217,Honda,Honda Aviator,30000,2014,Individual,1st owner,7000,59183.0
218,Honda,Honda Aviator,25000,2012,Individual,2nd owner,12000,59183.0
219,Honda,Honda Activa 5G,70000,2019,Individual,1st owner,3000,59422.0
220,Honda,Honda Activa 5G,55000,2019,Individual,1st owner,9000,59422.0
221,Honda,Honda Activa 5G,50000,2018,Individual,1st owner,14000,59422.0
222,Honda,Honda Activa 5G,51000,2018,Individual,1st owner,14000,59422.0
223,Honda,Honda Activa 5G,62000,2019,Individual,1st owner,11200,59422.0
224,Honda,Honda Activa 5G,65000,2019,Individual,1st owner,3025,59422.0
225,Hero,Hero Passion XPro,25000,2013,Individual,1st owner,25000,59640.0
226,Yamaha,Yamaha Saluto,60000,2018,Individual,1st owner,13000,59844.0
227,Yamaha,Yamaha Saluto,74000,2019,Individual,1st owner,13000,59844.0
228,Bajaj,Bajaj Discover 125,50000,2016,Individual,1st owner,42000,60122.0
229,Bajaj,Bajaj Discover 125,25000,2011,Individual,1st owner,57000,60122.0
230,Bajaj,Bajaj Discover 125,28000,2013,Individual,1st owner,45000,60122.0
231,Bajaj,Bajaj Discover 125,25000,2016,Individual,1st owner,70350,60122.0
232,Bajaj,Bajaj Discover 125,38000,2018,Individual,1st owner,34000,60122.0
233,Bajaj,Bajaj Discover 125,45000,2016,Individual,1st owner,20000,60122.0
234,Bajaj,Bajaj Discover 125,50000,2018,Individual,1st owner,6000,60122.0
235,Honda,Honda Aviator,57000,2018,Individual,1st owner,6465,61118.0
236,Honda,Honda Activa 125 [2016-2017],40000,2017,Individual,1st owner,26000,61545.0
237,Honda,Honda Activa 125 [2016-2017],55000,2018,Individual,1st owner,18000,61545.0
238,Honda,Honda Activa 125 [2016-2017],50000,2017,Individual,1st owner,27000,61545.0
239,Hero,Hero Glamour 125,55000,2017,Individual,1st owner,2500,61600.0
240,Hero,Hero Glamour 125,45000,2018,Individual,1st owner,21000,61600.0
241,Hero,Hero Glamour 125,45000,2017,Individual,1st owner,18000,61600.0
242,Hero,Hero Glamour 125,38000,2016,Dealer,1st owner,5500,61600.0
243,Hero,Hero Glamour 125,40000,2016,Individual,1st owner,15000,61600.0
244,Hero,Hero Glamour 125,40000,2015,Individual,1st owner,71250,61600.0
245,Hero,Hero Glamour 125,25000,2013,Individual,1st owner,50000,61600.0
246,Hero,Hero Glamour 125,15000,2011,Individual,1st owner,75000,61600.0
247,Hero,Hero Glamour 125,54000,2013,Individual,1st owner,17000,61600.0
248,Hero,Hero Glamour 125,50000,2017,Individual,1st owner,8600,61600.0
249,Hero,Hero Glamour 125,35000,2014,Individual,1st owner,450000,61600.0
250,Honda,Honda Activa 125 [2016-2017],42000,2016,Individual,1st owner,30514,61653.0
251,Honda,Honda CB Shine SP,50000,2017,Individual,1st owner,34300,62317.0
252,Yamaha,Yamaha Saluto,38000,2015,Individual,1st owner,15000,63180.0
253,Bajaj,Bajaj Discover 150S,40000,2014,Individual,1st owner,50000,63331.0
254,Bajaj,Bajaj Discover 150S,35000,2015,Individual,1st owner,28000,63331.0
255,Honda,Honda Aviator,41000,2013,Individual,1st owner,36500,63537.0
256,Honda,Honda Aviator,28000,2013,Individual,1st owner,28087,63537.0
257,Bajaj,Bajaj Pulsar 135 LS,40000,2016,Individual,1st owner,13700,64000.0
258,Bajaj,Bajaj Discover 150F,40000,2014,Individual,2nd owner,60855,64071.0
259,Bajaj,Bajaj Discover 150F,30000,2015,Individual,1st owner,12000,64071.0
260,Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,2nd owner,50000,64589.0
261,Bajaj,Bajaj Pulsar 135 LS,56000,2017,Individual,3rd owner,37714,64589.0
262,Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589.0
263,Bajaj,Bajaj Pulsar 135 LS,23000,2010,Individual,1st owner,77000,64589.0
264,Bajaj,Bajaj Pulsar 135 LS,40000,2018,Individual,1st owner,15000,64589.0
265,Bajaj,Bajaj Pulsar 135 LS,24000,2010,Individual,1st owner,45000,64589.0
266,Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589.0
267,Bajaj,Bajaj Pulsar 135 LS,25000,2011,Individual,2nd owner,30000,64589.0
268,Bajaj,Bajaj Pulsar 135 LS,45000,2014,Individual,1st owner,14000,64589.0
269,Bajaj,Bajaj Pulsar 135 LS,20000,2011,Individual,1st owner,60000,64589.0
270,Bajaj,Bajaj Pulsar 135 LS,45000,2017,Individual,1st owner,22000,64589.0
271,Bajaj,Bajaj Pulsar 135 LS,50000,2015,Individual,1st owner,48000,64589.0
272,Honda,Honda CB Shine SP,47000,2017,Individual,1st owner,73000,64750.0
273,Honda,Honda CB Shine SP,50000,2018,Individual,1st owner,37000,64750.0
274,Honda,Honda CB Shine SP,42000,2017,Individual,1st owner,19800,64750.0
275,Honda,Honda CB Shine SP,50000,2016,Individual,1st owner,45000,64750.0
276,Hero,Hero  Ignitor Disc,20000,2015,Individual,2nd owner,24000,65000.0
277,Hero,Hero Ignitor,36000,2016,Individual,1st owner,23000,65599.0
278,Bajaj,Bajaj V15,42000,2016,Individual,1st owner,35000,65626.0
279,Bajaj,Bajaj V15,50000,2017,Individual,1st owner,9000,65626.0
280,Bajaj,Bajaj V15,45000,2015,Individual,1st owner,2700,65626.0
281,Bajaj,Bajaj V15,76000,2018,Individual,1st owner,23000,65626.0
282,Yamaha,Yamaha SZ X,25000,2012,Individual,2nd owner,30000,65800.0
283,Yamaha,Yamaha SZ X,35000,2010,Individual,1st owner,46000,65800.0
284,TVS,TVS Radeon,35000,2017,Individual,1st owner,20000,66492.0
285,Honda,Honda CB Shine SP,41000,2017,Individual,1st owner,33000,66697.0
286,Bajaj,Bajaj V15,40000,2016,Individual,1st owner,45000,67187.0
287,Bajaj,Bajaj V15,42000,2016,Individual,1st owner,19500,67187.0
288,Bajaj,Bajaj V15,40000,2016,Individual,1st owner,34000,67187.0
289,Bajaj,Bajaj V15,45000,2016,Individual,1st owner,36000,67187.0
290,Bajaj,Bajaj V15,70000,2018,Individual,1st owner,15000,67187.0
291,Honda,Honda CB Shine SP,50000,2016,Individual,1st owner,46000,67214.0
292,Honda,Honda CB Shine SP,48000,2015,Individual,1st owner,25000,67469.0
293,Hero,Hero Ignitor,35000,2014,Individual,1st owner,33200,67722.0
294,Hero,Hero Ignitor,30000,2016,Individual,1st owner,18000,67722.0
295,Hero,Hero Achiever 150,29900,2016,Individual,1st owner,55000,69750.0
296,Hero,Hero Achiever 150,38000,2017,Individual,1st owner,26000,69750.0
297,Hero,Hero Achiever 150,65000,2016,Individual,1st owner,29000,69750.0
298,Yamaha,Yamaha SZ RR V 2.0,35000,2015,Individual,1st owner,38000,69983.0
299,Suzuki,Suzuki GS150R,30000,2010,Individual,1st owner,130000,70851.0
300,Suzuki,Suzuki GS150R,27000,2012,Individual,1st owner,14100,70851.0
301,Honda,Honda CB Shine SP,62000,2019,Individual,1st owner,10000,71049.0
302,Hero,Hero Glamour FI,50000,2018,Individual,1st owner,20000,71150.0
303,Hero,Hero Glamour FI,30900,2014,Individual,1st owner,25000,71150.0
304,Hero,Hero Glamour FI,75000,2019,Individual,1st owner,8900,71150.0
305,Honda,Honda CB Unicorn,45000,2010,Individual,1st owner,75000,71681.0
306,Honda,Honda CB Unicorn Dazzler,22000,2011,Individual,1st owner,38350,71757.0
307,Honda,Honda CB Unicorn Dazzler,50000,2010,Individual,1st owner,75000,71757.0
308,Honda,Honda CB Unicorn Dazzler,25000,2011,Individual,1st owner,40000,71757.0
309,Honda,Honda CB Unicorn,38000,2017,Individual,1st owner,38600,72000.0
310,Vespa,Vespa VX 125,45000,2013,Individual,2nd owner,50000,72303.0
311,Hero,Hero Xtreme [2013-2014],45000,2014,Individual,1st owner,56420,72492.0
312,Yamaha,Yamaha SZ-S,50000,2014,Individual,1st owner,20000,72532.0
313,Hero,Hero Xtreme 2014,35000,2013,Individual,1st owner,15000,72973.0
314,Hero,Hero Xtreme 2014,50000,2014,Individual,1st owner,10000,72973.0
315,Honda,Honda CB Trigger,42000,2015,Individual,1st owner,12000,73000.0
316,Honda,Honda CB Trigger,30000,2015,Individual,1st owner,40000,73413.0
317,Bajaj,Bajaj Pulsar 150,65000,2017,Individual,1st owner,5000,74000.0
318,Honda,Honda CB Unicorn 150,50000,2014,Individual,1st owner,32000,74295.0
319,Honda,Honda CB Unicorn 150,50000,2007,Individual,1st owner,46000,74295.0
320,Honda,Honda CB Unicorn 150,70000,2017,Individual,1st owner,18000,74295.0
